STATE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
STATE,COUNT,COUNT,COUNT,COUNT,COUNT,COUNT,COUNT,COUNT,COUNT,COUNT,COUNT,COUNT,COUNT
AK,20,23,25,25,28,35,36,45,51,59,66,72,75
AL,7,9,15,23,25,30,37,52,55,66,68,77,84
AR,5,7,13,18,23,29,34,44,53,58,70,76,82
AZ,37,45,55,59,77,91,110,130,146,157,170,179,184
CA,358,401,472,528,654,788,927,"1,106","1,236","1,370","1,465","1,524","1,571"
CO,129,149,185,234,300,352,386,448,500,544,561,586,614
CT,21,20,24,39,50,59,76,103,124,149,162,172,176
DC,4,6,5,11,12,13,13,13,13,15,17,19,21
DE,11,12,13,13,15,21,25,33,38,43,47,51,54
FL,60,71,89,113,158,205,264,338,386,464,500,531,571
GA,26,25,31,37,48,54,69,102,121,158,186,208,234
HI,11,12,15,17,20,26,23,28,38,43,44,50,52
IA,27,35,46,54,60,71,94,115,125,137,149,154,166
ID,25,33,39,42,51,57,67,76,87,101,118,120,129
IL,62,68,95,123,164,210,244,291,338,372,405,418,436
IN,43,59,72,95,116,151,163,213,234,261,277,288,295
KS,17,21,21,25,27,37,47,53,64,78,78,88,92
KY,14,21,25,25,38,48,60,73,86,105,118,128,138
LA,12,12,12,15,17,25,34,43,47,60,68,69,75
MA,48,52,65,82,98,124,146,189,230,268,293,321,340
MD,24,26,40,43,55,73,88,116,141,159,176,188,200
ME,44,49,53,60,71,84,102,131,165,186,197,212,227
MI,111,131,160,195,256,316,379,452,510,577,605,636,670
MN,42,56,70,75,113,142,165,214,239,267,286,301,314
MO,51,55,60,63,77,90,116,145,168,192,212,230,249
MS,3,*,4,7,10,14,14,16,19,22,25,32,33
MT,31,35,41,49,62,74,79,98,108,121,128,137,139
NC,61,71,94,125,155,207,260,330,387,443,491,544,578
ND,3,3,7,8,10,11,15,22,26,29,31,34,33
NE,16,18,20,25,35,39,47,53,60,67,73,78,82
NH,19,21,25,35,46,63,73,88,106,125,135,140,156
NJ,24,31,29,37,49,71,96,123,146,175,186,198,211
NM,26,30,38,48,60,71,86,110,124,143,151,155,161
NV,20,20,23,26,34,39,44,46,50,65,71,73,72
NY,100,123,150,193,255,329,394,471,532,618,666,720,762
OH,75,81,99,114,151,187,236,324,377,437,482,525,563
OK,10,10,13,17,18,21,26,43,55,76,88,95,102
OR,120,148,180,220,244,281,304,347,386,406,428,441,451
PA,118,146,162,183,233,278,333,411,472,560,619,712,761
RI,5,6,9,12,14,15,17,27,33,40,51,52,54
SC,16,17,23,30,37,51,59,84,94,115,131,149,164
SD,8,9,12,12,15,19,21,28,35,45,58,63,64
TN,26,31,45,51,69,88,101,120,140,174,196,205,220
TX,59,84,107,128,170,220,266,333,387,466,526,581,618
UT,18,18,22,24,27,29,34,39,46,54,54,55,61
VA,44,54,67,85,117,155,209,287,328,383,420,447,479
VT,32,34,39,45,51,66,73,84,90,100,106,111,117
WA,157,188,230,266,314,383,424,499,540,600,627,667,692
WI,119,126,146,146,168,189,217,261,303,346,365,374,391
WV,8,8,8,9,13,17,24,27,32,34,35,38,40
WY,16,15,19,25,28,32,33,39,44,51,51,56,59
Other,,2,,,,,,,,,,,
  Total,"2,343","2,725","3,312","3,934","4,938","6,080","7,190","8,863","10,115","11,584","12,532","13,380","14,112"
,,,,,,,,,,,,,